date,open,high,low,close,adj_close,volume
2012-11-12,5688.450195,5718.899902,5665.75,5683.700195,5683.700195,0
2012-11-15,5650.350098,5651.649902,5603.549805,5631.0,5631.0,0
2012-11-16,5624.799805,5650.149902,5559.799805,5574.049805,5574.049805,0
2012-11-19,5577.299805,5592.75,5549.25,5571.399902,5571.399902,0
2012-11-20,5604.799805,5613.700195,5548.350098,5571.549805,5571.549805,0
2012-11-21,5582.5,5620.200195,5561.399902,5614.799805,5614.799805,0
2012-11-22,5628.600098,5643.350098,5608.0,5627.75,5627.75,0
2012-11-23,5635.450195,5637.75,5593.549805,5626.600098,5626.600098,0
2012-11-26,5648.649902,5649.200195,5623.450195,5635.899902,5635.899902,0
2012-11-27,5658.5,5733.200195,5658.0,5727.450195,5727.450195,0
2012-11-29,5736.700195,5833.5,5736.100098,5825.0,5825.0,0
2012-11-30,5836.0,5885.25,5827.850098,5879.850098,5879.850098,0
2012-12-03,5878.25,5899.149902,5854.600098,5870.950195,5870.950195,0
2012-12-04,5866.799805,5894.950195,5859.0,5889.25,5889.25,0
2012-12-05,5906.600098,5917.799805,5891.350098,5900.5,5900.5,0
2012-12-06,5926.299805,5942.549805,5838.899902,5930.899902,5930.899902,0
2012-12-07,5934.0,5949.850098,5888.649902,5907.399902,5907.399902,0
2012-12-10,5916.049805,5919.950195,5888.100098,5908.899902,5908.899902,0
2012-12-11,5923.799805,5965.149902,5865.450195,5898.799805,5898.799805,0
2012-12-12,5917.799805,5924.600098,5874.25,5888.0,5888.0,0
2012-12-13,5900.350098,5907.450195,5841.350098,5851.5,5851.5,0
2012-12-14,5846.899902,5886.100098,5839.149902,5879.600098,5879.600098,0
2012-12-17,5860.5,5886.049805,5850.149902,5857.899902,5857.899902,0
2012-12-18,5873.600098,5905.799805,5823.149902,5896.799805,5896.799805,0
2012-12-19,5917.299805,5939.399902,5910.799805,5929.600098,5929.600098,0
2012-12-20,5934.450195,5937.600098,5881.450195,5916.399902,5916.399902,0
2012-12-21,5888.0,5888.0,5841.649902,5847.700195,5847.700195,0
2012-12-24,5869.0,5871.899902,5844.700195,5855.75,5855.75,0
2012-12-26,5864.950195,5917.299805,5859.549805,5905.600098,5905.600098,0
2012-12-27,5930.200195,5930.799805,5864.700195,5870.100098,5870.100098,0
2012-12-28,5887.149902,5915.75,5879.5,5908.350098,5908.350098,0
2012-12-31,5901.200195,5919.0,5897.149902,5905.100098,5905.100098,0
2013-01-02,5982.600098,6006.049805,5982.0,5993.25,5993.25,0
2013-01-03,6015.799805,6017.0,5986.549805,6009.5,6009.5,0
2013-01-04,6011.950195,6020.75,5981.549805,6016.149902,6016.149902,0
2013-01-07,6042.149902,6042.149902,5977.149902,5988.399902,5988.399902,0
2013-01-08,5983.450195,6007.049805,5964.399902,6001.700195,6001.700195,0
2013-01-09,6006.200195,6020.100098,5958.450195,5971.5,5971.5,0
2013-01-10,5998.799805,6005.149902,5947.299805,5968.649902,5968.649902,0
2013-01-11,6012.399902,6018.850098,5940.600098,5951.299805,5951.299805,0
2013-01-14,5967.200195,6036.899902,5962.149902,6024.049805,6024.049805,0
2013-01-15,6037.850098,6068.5,6018.600098,6056.600098,6056.600098,0
2013-01-16,6049.0,6055.950195,5992.049805,6001.850098,6001.850098,0
2013-01-17,6001.25,6053.200195,5988.100098,6039.200195,6039.200195,0
2013-01-18,6059.850098,6083.399902,6048.299805,6064.399902,6064.399902,0
2013-01-21,6085.75,6094.350098,6065.100098,6082.299805,6082.299805,130900
2013-01-22,6080.149902,6101.299805,6040.5,6048.5,6048.5,129000
2013-01-23,6052.850098,6069.799805,6021.149902,6054.299805,6054.299805,137000
2013-01-24,6046.200195,6065.299805,6007.850098,6019.350098,6019.350098,185200
2013-01-25,6024.5,6080.549805,6014.450195,6074.649902,6074.649902,147600
2013-01-28,6082.100098,6088.399902,6061.399902,6074.799805,6074.799805,113100
2013-01-29,6064.700195,6111.799805,6042.450195,6049.899902,6049.899902,157600
2013-01-30,6065.0,6071.950195,6044.149902,6055.75,6055.75,124200
2013-01-31,6045.649902,6058.049805,6025.149902,6034.75,6034.75,168500
2013-02-01,6040.950195,6052.950195,5983.200195,5998.899902,5998.899902,159300
2013-02-04,6025.200195,6038.5,5981.25,5987.25,5987.25,141700
2013-02-05,5948.200195,5970.350098,5946.899902,5956.899902,5956.899902,136200
2013-02-06,5988.049805,5990.899902,5953.149902,5959.200195,5959.200195,157800
2013-02-07,5936.450195,5978.5,5927.600098,5938.799805,5938.799805,157600
2013-02-08,5929.100098,5953.700195,5883.649902,5903.5,5903.5,192600
2013-02-11,5920.049805,5924.149902,5879.100098,5897.850098,5897.850098,122000
2013-02-12,5894.350098,5927.649902,5886.450195,5922.5,5922.5,142800
2013-02-13,5943.149902,5969.5,5922.950195,5932.950195,5932.950195,142600
2013-02-14,5933.200195,5940.200195,5884.549805,5896.950195,5896.950195,143800
2013-02-15,5869.950195,5899.950195,5853.899902,5887.399902,5887.399902,125100
2013-02-18,5888.649902,5911.0,5878.450195,5898.200195,5898.200195,114300
2013-02-19,5900.200195,5947.549805,5883.149902,5939.700195,5939.700195,101000
2013-02-20,5966.299805,5971.0,5937.549805,5943.049805,5943.049805,135400
2013-02-21,5909.649902,5921.149902,5844.399902,5852.25,5852.25,159400
2013-02-22,5837.950195,5873.799805,5835.799805,5850.299805,5850.299805,157000
2013-02-25,5870.549805,5878.399902,5825.0,5854.75,5854.75,125100
2013-02-26,5838.299805,5838.850098,5748.600098,5761.350098,5761.350098,157400
2013-02-27,5784.899902,5818.200195,5749.700195,5796.899902,5796.899902,175200
2013-02-28,5834.350098,5849.899902,5671.899902,5693.049805,5693.049805,334900
2013-03-01,5702.450195,5739.450195,5679.899902,5719.700195,5719.700195,174500
2013-03-04,5704.700195,5712.0,5663.600098,5698.5,5698.5,144900
2013-03-05,5722.450195,5790.100098,5722.399902,5784.25,5784.25,154400
2013-03-06,5816.399902,5828.700195,5795.049805,5818.600098,5818.600098,156900
2013-03-07,5801.299805,5878.0,5801.299805,5863.299805,5863.299805,134700
2013-03-08,5883.649902,5952.850098,5883.0,5945.700195,5945.700195,150800
2013-03-11,5946.100098,5971.200195,5930.350098,5942.350098,5942.350098,125400
2013-03-12,5944.600098,5952.0,5893.649902,5914.100098,5914.100098,115900
2013-03-13,5884.799805,5893.850098,5842.25,5851.200195,5851.200195,116700
2013-03-14,5845.950195,5920.149902,5791.75,5908.950195,5908.950195,149000
2013-03-15,5914.899902,5945.649902,5861.0,5872.600098,5872.600098,152200
